s,x,y,curvature
1.007862759113652695e-01,1.006172710229378403e-01,7.537003095081307169e-01,-1.004544319771380003e+02
1.015010721944245853e-01,9.828694435804824492e-02,7.519851019111752910e-01,1.027836285206965385e+03
1.022158684774839149e-01,9.756372162338329546e-02,7.494995602062775042e-01,-3.467661951417213686e+02
1.029306647605432445e-01,9.485090510583735202e-02,7.479676958079845006e-01,8.076470685123350677e+02
1.036454610436025742e-01,9.406974045789072425e-02,7.455099272045797587e-01,-2.503590295877436347e+02
1.043602573266619038e-01,9.286469768466396046e-02,7.432553371915593399e-01,-8.226060353696173024e+02
1.050750536097212334e-01,9.056184471181989715e-02,7.415269953076391030e-01,1.079218170419966043e+02
1.057898498927805631e-01,8.934629592745872706e-02,7.392774397710489831e-01,-5.384837283364254290e+02
1.065046461758398927e-01,8.746748276444245296e-02,7.373458084504808108e-01,1.255610589982516103e+03
1.072194424588992223e-01,8.654273211145484257e-02,7.349568662943961606e-01,-2.037645052448638694e+02
1.079342387419585381e-01,8.398248771508767807e-02,7.333518682646154030e-01,1.026299329532084357e+03
1.086490350250178677e-01,8.301927670206916965e-02,7.309813613903544116e-01,1.151876156930085848e+01
1.093638313080771973e-01,8.207794101889519245e-02,7.286003696882553671e-01,-1.016211052956577760e+03
1.100786275911365270e-01,7.949619418628306455e-02,7.270057099683168156e-01,2.160529195326014076e+02
1.107934238741958566e-01,7.859616466628070730e-02,7.246049136664488577e-01,-1.343321479830685576e+03
1.115082201572551862e-01,7.672594709523387901e-02,7.226691939484376492e-01,4.814034327215598523e+02
1.122230164403145158e-01,7.547481553341722771e-02,7.204366954478577112e-01,-9.997090910303008116e+01
1.129378127233738455e-01,7.320514352598085639e-02,7.186924161496792696e-01,7.483991189331134137e+02
1.136526090064331751e-01,7.195036476455157759e-02,7.164616681759226058e-01,3.186489056663211841e+02
1.143674052894924908e-01,7.105174956334060765e-02,7.140602029398768202e-01,-5.130584581013988554e+02
1.150822015725518205e-01,6.968195196021147175e-02,7.118846073986432321e-01,-7.530322721951135918e+02
1.157969978556111501e-01,6.780051863367200782e-02,7.099542344811979877e-01,9.141908936435589794e+02
1.165117941386704797e-01,6.675088559103915797e-02,7.076251752341803369e-01,-1.472686532764463720e+02
1.172265904217298094e-01,6.430582044358236493e-02,7.059649466050548217e-01,9.676739292985583916e+02
1.179413867047891390e-01,6.350613073272178000e-02,7.035160725532765280e-01,-2.715266564522554518e+02
1.186561829878484686e-01,6.086880107558668290e-02,7.019480384575657039e-01,8.310598926593168017e+02
1.193709792709077983e-01,6.023692509338172962e-02,6.994187199327380755e-01,-4.660094936281591913e+02
1.200857755539671279e-01,5.748723731927662256e-02,6.979045511282033765e-01,6.204953599538986282e+02
1.208005718370264575e-01,5.675553207339357337e-02,6.954230781432995112e-01,-4.710767085675037151e+02
1.215153681200857733e-01,5.539973638249214710e-02,6.932407724545855965e-01,-7.602319103250772514e+02
1.222301644031451029e-01,5.353096243794280840e-02,6.913043295747006711e-01,8.645056661557825919e+02
1.229449606862044325e-01,5.219389981988074162e-02,6.891130440374516608e-01,4.596259993568420441e+02
1.236597569692637621e-01,5.132141952399292550e-02,6.866990517987976439e-01,-3.946126039412898763e+02
1.243745532523230918e-01,4.996756907912566770e-02,6.845157908598284990e-01,6.553852718920195741e+01
1.250893495353824214e-01,4.893640719877845324e-02,6.821778529341859798e-01,1.458435327628995424e+02
1.258041458184417372e-01,4.802636314146912361e-02,6.797818574153172699e-01,-9.439602371994133136e+02
1.265189421015010807e-01,4.645554747003705770e-02,6.777025648755906628e-01,-2.776685196284716994e+02
1.272337383845603964e-01,4.463879009687038435e-02,6.757412227128852811e-01,1.635656328976610212e+03
1.279485346676197399e-01,4.348219284583038080e-02,6.734633918453000190e-01,2.107346516552598814e+02
1.286633309506790557e-01,4.255834744138690950e-02,6.710740091320964718e-01,-6.634844042460667879e+02
1.293781272337383992e-01,4.111111977027235437e-02,6.689355328422311731e-01,-5.583970535188644817e+02
1.300929235167977149e-01,3.925176162357607579e-02,6.669945449702567863e-01,1.118143355431607688e+03
1.308077197998570307e-01,3.797971439317938264e-02,6.647720524593168090e-01,3.654460780537826281e+02
1.315225160829163742e-01,3.707362553600818122e-02,6.623741619423323401e-01,-4.379459969390810556e+02
1.322373123659756899e-01,3.574704158471872506e-02,6.601778539662891410e-01,-8.479874321702103543e+02
1.329521086490350334e-01,3.382448527568877872e-02,6.582671589678200652e-01,9.600419220922829027e+02
1.336669049320943492e-01,3.376047442449199576e-02,6.554656330218989746e-01,-7.900035046163743573e+02
1.343817012151536927e-01,3.215733432785620322e-02,6.534018336959731554e-01,-1.400659509145490631e+02
1.350964974982130085e-01,3.039191721742149493e-02,6.514158810920019915e-01,1.200322362976367685e+03
1.358112937812723520e-01,3.039867790035282943e-02,6.485804327434628869e-01,-1.133176413582617215e+03
1.365260900643316677e-01,2.845868196946649969e-02,6.466781624384535521e-01,7.246912388757783674e+02
1.372408863473910112e-01,2.831784953442115574e-02,6.439134624831568399e-01,-6.104978549374052363e+02
1.379556826304503270e-01,2.681330559677259917e-02,6.418024621123045170e-01,-3.059336174509430748e+02
1.386704789135096427e-01,2.497961773943379107e-02,6.398491694578944955e-01,1.296533252763589189e+03
1.393852751965689862e-01,2.499612012557432539e-02,6.370090520088440567e-01,-1.239600513908251514e+03
1.401000714796283020e-01,2.312310220830994870e-02,6.350746133048592590e-01,4.683658588503669762e+02
1.408148677626876455e-01,2.327824052385326498e-02,6.321680453659440646e-01,-1.179445660326369989e+02
1.415296640457469612e-01,2.164417614026525188e-02,6.301190723384459957e-01,7.285398985083679690e+02
1.422444603288063047e-01,2.141871629456853707e-02,6.273949322401668471e-01,1.430018948813182647e+02
1.429592566118656205e-01,2.069547993584498063e-02,6.249094077291907912e-01,-1.082597248555562999e+02
1.436740528949249640e-01,1.964856899942594645e-02,6.225790369538554136e-01,-2.706049445709771248e+02
1.443888491779842798e-01,1.962191452563114002e-02,6.197596062344089551e-01,-1.293886150380428489e+03
1.451036454610435955e-01,1.776422216647686320e-02,6.178178839521247800e-01,4.312405679400917506e+02
1.458184417441029390e-01,1.792423974901821357e-02,6.149089742506124168e-01,-1.463478584286975490e+02
1.465332380271622548e-01,1.626998727251207505e-02,6.128696773382058538e-01,7.088181924981518023e+02
1.472480343102215983e-01,1.617847286623516623e-02,6.100813342328385014e-01,-8.152478286728559169e+02
1.479628305932809140e-01,1.423415861608101456e-02,6.081810685799979854e-01,1.071561604840288283e+03
1.486776268763402575e-01,1.429799106896125285e-02,6.053182650893479400e-01,1.759737140439368375e+02
1.493924231593995733e-01,1.304922219878340214e-02,6.030846133742604476e-01,2.376716124427988177e+02
1.501072194424589168e-01,1.261301072944981568e-02,6.004614892927528924e-01,-3.546211075451514603e+02
1.508220157255182325e-01,1.084650503485041877e-02,5.984759975034928958e-01,9.264156011055235922e+02
1.515368120085775483e-01,1.070303964848246837e-02,5.957125553276875207e-01,1.940145386179987668e+02
1.522516082916368918e-01,9.866098196733577574e-03,5.932815079381194012e-01,-2.955068307855064802e+01
1.529664045746962076e-01,8.938630811798870673e-03,5.908938511754131540e-01,-2.299872602025681090e+02
1.536812008577555511e-01,8.848336953232322985e-03,5.881049254709459495e-01,-1.090925560814505388e+03
1.543959971408148668e-01,7.047775945146178382e-03,5.861358167105739092e-01,3.356980323869428275e+02
1.551107934238742103e-01,7.112096113638138005e-03,5.832727765805966191e-01,1.182484309908026603e+02
1.558255897069335261e-01,6.720764428687184440e-03,5.806281406698419190e-01,-3.830246526630712083e+02
1.565403859899928696e-01,5.328452251758666880e-03,5.784632916319006890e-01,-7.589146841589047199e+01
1.572551822730521853e-01,5.434655715477806383e-03,5.755801789996154438e-01,-8.632166650990628796e+02
1.579699785561115011e-01,3.498579338143985827e-03,5.736759651557968853e-01,9.617335137722398031e+02
1.586847748391708446e-01,3.566708909096952262e-03,5.708111019758684845e-01,5.876447564983027405e+01
