s,x,y,curvature
5.152576288144071481e-02,3.536010358227023032e-01,8.488193689046272805e-01,-9.849787456264992969e+00
5.202601300650324528e-02,3.517931145373983659e-01,8.488247410411513538e-01,5.624107912508264207e+01
5.252626313156577575e-02,3.499813152739656985e-01,8.488399400954894647e-01,-9.846740674283188355e+01
5.302651325662831316e-02,3.482897882534719547e-01,8.485503656461175215e-01,4.536753414166010998e+02
5.352676338169084364e-02,3.469524098367914311e-01,8.473633679094790816e-01,-8.197675277033683869e+02
5.402701350675337411e-02,3.451083702595978964e-01,8.474602649115211550e-01,1.218381779566283996e+02
5.452726363181590458e-02,3.433157480663870942e-01,8.474268686026675823e-01,-2.309993964095005836e+01
5.502751375687843505e-02,3.415048207431776728e-01,8.474398584040395699e-01,4.978967492411440787e+01
5.552776388194096552e-02,3.396986406283635795e-01,8.474408184257082866e-01,-1.638232894936137427e+02
5.602801400700349599e-02,3.379757943009819021e-01,8.472305999135417709e-01,5.699040223181062856e+02
5.652826413206602646e-02,3.366566192467104757e-01,8.459974265838378082e-01,-9.408715687272997457e+02
5.702851425712855693e-02,3.348210683440224211e-01,8.460728159151778005e-01,1.393352486353294353e+02
5.752876438219109434e-02,3.330285036653771735e-01,8.460392727329589801e-01,-2.707629221173150214e+01
5.802901450725362481e-02,3.312168166752438858e-01,8.460541875535960710e-01,4.556841815468127521e+01
5.852926463231615528e-02,3.294152224235609716e-01,8.460435267637090861e-01,-2.037341510043404469e+02
5.902951475737868575e-02,3.276639007632095590e-01,8.459054737383615574e-01,6.998320876784981692e+02
5.952976488244121622e-02,3.263579224442351712e-01,8.446389072112338026e-01,-1.050411056766657111e+03
6.003001500750374669e-02,3.245348257464708563e-01,8.446827342674215755e-01,1.552215268439200031e+02
6.053026513256627716e-02,3.227380801160353863e-01,8.446597872382769490e-01,-4.061928034404862053e+00
6.103051525762880763e-02,3.209415567808320269e-01,8.446362754174823184e-01,-1.412033729056515483e+02
6.153076538269133811e-02,3.191090989962719893e-01,8.447038264518649253e-01,9.685844897488700553e+02
6.203101550775387552e-02,3.177934321328946821e-01,8.434617629101958114e-01,-5.993697923174103153e+02
6.253126563281639905e-02,3.160636426795787601e-01,8.432691391707671791e-01,1.812262373305722178e+02
6.303151575787893646e-02,3.142583653801813703e-01,8.432678113192627611e-01,-4.909961909729312168e+01
6.353176588294145999e-02,3.124496894753218124e-01,8.432750959700674454e-01,8.349551705143911207e+00
